CAGR | ADANIENSOL | 2020-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2021-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2021-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2021-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2022-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2022-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2022-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2023-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2023-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2023-03 | eps_cagr_10yr | INSUFFICIENT
OPM | ADANIENSOL | 2024-03 | source=30.0 computed=34.3891 | SOURCE_MISMATCH
CAGR | ADANIENSOL | 2024-03 | revenue_cagr_10yr | ZERO_BASE
CAGR | ADANIENSOL | 2024-03 | pat_cagr_10yr | ZERO_BASE
CAGR | ADANIENSOL | 2024-03 | eps_cagr_10yr | ZERO_BASE
CAGR | ADANIENSOL | 2024-09 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIENSOL | 2024-09 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2024-09 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2024-09 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIENSOL | 2024-09 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2024-09 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2024-09 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIENSOL | 2024-09 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2024-09 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2013-03 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIENT | 2013-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2013-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2013-03 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIENT | 2013-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2013-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2013-03 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIENT | 2013-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2013-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2014-03 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIENT | 2014-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2014-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2014-03 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIENT | 2014-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2014-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2014-03 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIENT | 2014-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2014-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2015-03 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIENT | 2015-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2015-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2015-03 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIENT | 2015-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2015-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2015-03 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIENT | 2015-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2015-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2016-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2016-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2016-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2016-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2016-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2016-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2017-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2017-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2017-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2017-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2017-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2017-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2018-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2018-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2018-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2019-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2019-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2019-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2020-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2020-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2020-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2021-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2021-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2021-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2022-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2022-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2022-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENT | 2024-09 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIENT | 2024-09 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIENT | 2024-09 | revenue_cagr_10yr | INSUFFICIENT
