company_id,from_year,from_pattern,to_year,to_pattern
ITC,2020,Reinvestor,2021,Liquidating Assets
ITC,2021,Liquidating Assets,2022,Reinvestor
ITC,2023,Reinvestor,2024,Liquidating Assets
JINDALSTEL,2015,Shareholder Returns,2016,Reinvestor
JINDALSTEL,2023,Reinvestor,2024,Shareholder Returns
JIOFIN,2023,Reinvestor,2024,Pre-Revenue Growth
JSWENERGY,2019,Reinvestor,2020,Liquidating Assets
JSWENERGY,2020,Liquidating Assets,2021,Reinvestor
JSWENERGY,2022,Reinvestor,2023,Shareholder Returns
JSWSTEEL,2013,Reinvestor,2014,Shareholder Returns
JSWSTEEL,2014,Shareholder Returns,2015,Reinvestor
JSWSTEEL,2018,Reinvestor,2019,Shareholder Returns
JSWSTEEL,2020,Shareholder Returns,2021,Reinvestor
KOTAKBANK,2013,Shareholder Returns,2014,Reinvestor
KOTAKBANK,2014,Reinvestor,2015,Shareholder Returns
KOTAKBANK,2017,Shareholder Returns,2018,Mixed
KOTAKBANK,2018,Mixed,2019,Shareholder Returns
KOTAKBANK,2019,Shareholder Returns,2020,Reinvestor
KOTAKBANK,2021,Reinvestor,2022,Shareholder Returns
KOTAKBANK,2022,Shareholder Returns,2023,Mixed
KOTAKBANK,2023,Mixed,2024,Shareholder Returns
LICI,2019,Liquidating Assets,2020,Reinvestor
LICI,2020,Reinvestor,2021,Liquidating Assets
LICI,2021,Liquidating Assets,2022,Mixed / Unclassified
LICI,2022,Mixed / Unclassified,2023,Reinvestor
LODHA,2016,Shareholder Returns,2017,Reinvestor
LODHA,2017,Reinvestor,2018,Shareholder Returns
LODHA,2018,Shareholder Returns,2019,Mixed
LODHA,2019,Mixed,2020,Liquidating Assets
LODHA,2023,Liquidating Assets,2024,Shareholder Returns
LT,2016,Mixed,2017,Shareholder Returns
LT,2017,Shareholder Returns,2018,Distress Signal
LT,2018,Distress Signal,2019,Mixed
LT,2019,Mixed,2020,Shareholder Returns
LT,2020,Shareholder Returns,2021,Reinvestor
LT,2023,Reinvestor,2024,Liquidating Assets
LTIM,2013,Reinvestor,2014,Liquidating Assets
LTIM,2014,Liquidating Assets,2015,Reinvestor
M&M,2014,Mixed,2015,Shareholder Returns
M&M,2018,Shareholder Returns,2019,Mixed
M&M,2020,Mixed,2021,Shareholder Returns
M&M,2021,Shareholder Returns,2022,Reinvestor
M&M,2022,Reinvestor,2023,Mixed
MOTHERSON,2014,Reinvestor,2015,Shareholder Returns
MOTHERSON,2015,Shareholder Returns,2016,Reinvestor
MOTHERSON,2016,Reinvestor,2017,Shareholder Returns
MOTHERSON,2017,Shareholder Returns,2018,Reinvestor
MOTHERSON,2023,Reinvestor,2024,Shareholder Returns
NAUKRI,2013,Reinvestor,2014,Shareholder Returns
NAUKRI,2015,Shareholder Returns,2016,Reinvestor
NAUKRI,2019,Reinvestor,2020,Liquidating Assets
NAUKRI,2020,Liquidating Assets,2021,Shareholder Returns
NESTLEIND,2018,Reinvestor,2019,Liquidating Assets
NESTLEIND,2019,Liquidating Assets,2020,Reinvestor
NHPC,2019,Reinvestor,2020,Shareholder Returns
NHPC,2020,Shareholder Returns,2021,Reinvestor
NTPC,2013,Shareholder Returns,2014,Reinvestor
NTPC,2016,Reinvestor,2017,Shareholder Returns
NTPC,2020,Shareholder Returns,2021,Reinvestor
ONGC,2013,Reinvestor,2014,Shareholder Returns
ONGC,2014,Shareholder Returns,2015,Reinvestor
ONGC,2017,Reinvestor,2018,Shareholder Returns
ONGC,2018,Shareholder Returns,2019,Reinvestor
PFC,2014,Distress Signal,2015,Mixed
PFC,2016,Mixed,2017,Shareholder Returns
PFC,2017,Shareholder Returns,2018,Distress Signal
PFC,2018,Distress Signal,2019,Mixed
PFC,2020,Mixed,2021,Distress Signal
PFC,2021,Distress Signal,2022,Reinvestor
PFC,2022,Reinvestor,2023,Mixed
PIDILITIND,2016,Reinvestor,2017,Shareholder Returns
PIDILITIND,2017,Shareholder Returns,2018,Liquidating Assets
PIDILITIND,2018,Liquidating Assets,2019,Reinvestor
PIDILITIND,2019,Reinvestor,2020,Liquidating Assets
PIDILITIND,2020,Liquidating Assets,2021,Reinvestor
PNB,2013,Mixed,2014,Shareholder Returns
PNB,2016,Shareholder Returns,2017,Liquidating Assets
PNB,2017,Liquidating Assets,2018,Distress Signal
PNB,2018,Distress Signal,2019,Mixed
PNB,2020,Mixed,2021,Shareholder Returns
PNB,2023,Shareholder Returns,2024,Mixed
POWERGRID,2018,Shareholder Returns,2019,Reinvestor
POWERGRID,2021,Reinvestor,2022,Liquidating Assets
POWERGRID,2022,Liquidating Assets,2023,Reinvestor
RECLTD,2015,Distress Signal,2016,Mixed
RECLTD,2016,Mixed,2017,Reinvestor
RECLTD,2017,Reinvestor,2018,Distress Signal
RECLTD,2021,Distress Signal,2022,Mixed
RELIANCE,2015,Shareholder Returns,2016,Reinvestor
RELIANCE,2016,Reinvestor,2017,Shareholder Returns
RELIANCE,2017,Shareholder Returns,2018,Reinvestor
RELIANCE,2018,Reinvestor,2019,Shareholder Returns
RELIANCE,2019,Shareholder Returns,2020,Reinvestor
RELIANCE,2020,Reinvestor,2021,Shareholder Returns
RELIANCE,2023,Shareholder Returns,2024,Reinvestor
SBILIFE,2020,Reinvestor,2021,Shareholder Returns
SBILIFE,2021,Shareholder Returns,2022,Reinvestor
SBIN,2013,Reinvestor,2014,Shareholder Returns
SBIN,2014,Shareholder Returns,2015,Reinvestor
SBIN,2015,Reinvestor,2016,Shareholder Returns
SBIN,2016,Shareholder Returns,2017,Reinvestor
SBIN,2017,Reinvestor,2018,Distress Signal
SBIN,2018,Distress Signal,2019,Growth + Debt
SBIN,2019,Growth + Debt,2020,Shareholder Returns
SBIN,2021,Shareholder Returns,2022,Reinvestor
SBIN,2022,Reinvestor,2023,Mixed
SBIN,2023,Mixed,2024,Reinvestor
SHREECEM,2017,Reinvestor,2018,Shareholder Returns
SHREECEM,2018,Shareholder Returns,2019,Reinvestor
SHREECEM,2019,Reinvestor,2020,Shareholder Returns
SHREECEM,2020,Shareholder Returns,2021,Reinvestor
SHRIRAMFIN,2017,Mixed,2018,Distress Signal
SHRIRAMFIN,2018,Distress Signal,2019,Mixed
SHRIRAMFIN,2022,Mixed,2023,Distress Signal
SHRIRAMFIN,2023,Distress Signal,2024,Mixed
SIEMENS,2017,Liquidating Assets,2018,Reinvestor
SIEMENS,2019,Reinvestor,2020,Liquidating Assets
SIEMENS,2020,Liquidating Assets,2021,Reinvestor
SUNPHARMA,2013,Reinvestor,2014,Shareholder Returns
SUNPHARMA,2014,Shareholder Returns,2015,Reinvestor
SUNPHARMA,2020,Reinvestor,2021,Liquidating Assets
SUNPHARMA,2021,Liquidating Assets,2022,Reinvestor
SUNPHARMA,2022,Reinvestor,2023,Shareholder Returns
SUNPHARMA,2023,Shareholder Returns,2024,Reinvestor
TATACONSUM,2013,Growth + Debt,2014,Reinvestor
TATACONSUM,2015,Reinvestor,2016,Liquidating Assets
TATACONSUM,2017,Liquidating Assets,2018,Reinvestor
TATACONSUM,2018,Reinvestor,2019,Liquidating Assets
TATACONSUM,2019,Liquidating Assets,2020,Reinvestor
TATACONSUM,2023,Reinvestor,2024,Shareholder Returns
TATAMOTORS,2014,Reinvestor,2015,Shareholder Returns
TATAMOTORS,2015,Shareholder Returns,2016,Reinvestor
TATAMOTORS,2016,Reinvestor,2017,Shareholder Returns
TATAMOTORS,2021,Shareholder Returns,2022,Reinvestor
TATAPOWER,2016,Reinvestor,2017,Shareholder Returns
TATAPOWER,2017,Shareholder Returns,2018,Reinvestor
TATAPOWER,2020,Reinvestor,2021,Liquidating Assets
TATAPOWER,2021,Liquidating Assets,2022,Reinvestor
TATAPOWER,2022,Reinvestor,2023,Shareholder Returns
TATAPOWER,2023,Shareholder Returns,2024,Reinvestor
TATASTEEL,2013,Reinvestor,2014,Shareholder Returns
TATASTEEL,2014,Shareholder Returns,2015,Reinvestor
TATASTEEL,2017,Reinvestor,2018,Shareholder Returns
TATASTEEL,2018,Shareholder Returns,2019,Reinvestor
TCS,2017,Reinvestor,2018,Liquidating Assets
TCS,2020,Liquidating Assets,2021,Reinvestor
TCS,2022,Reinvestor,2023,Liquidating Assets
TECHM,2013,Shareholder Returns,2014,Liquidating Assets
TECHM,2014,Liquidating Assets,2015,Reinvestor
TECHM,2019,Reinvestor,2020,Liquidating Assets
TECHM,2020,Liquidating Assets,2021,Reinvestor
TECHM,2021,Reinvestor,2022,Liquidating Assets
TECHM,2022,Liquidating Assets,2023,Reinvestor
TITAN,2013,Reinvestor,2014,Mixed
TITAN,2014,Mixed,2015,Reinvestor
TITAN,2017,Reinvestor,2018,Pre-Revenue Growth
TITAN,2018,Pre-Revenue Growth,2019,Reinvestor
TITAN,2019,Reinvestor,2020,Pre-Revenue Growth
TITAN,2020,Pre-Revenue Growth,2021,Reinvestor
TITAN,2021,Reinvestor,2022,Pre-Revenue Growth
TITAN,2022,Pre-Revenue Growth,2023,Shareholder Returns
TITAN,2023,Shareholder Returns,2024,Reinvestor
TORNTPHARM,2015,Shareholder Returns,2016,Reinvestor
TORNTPHARM,2017,Reinvestor,2018,Shareholder Returns
TORNTPHARM,2018,Shareholder Returns,2019,Reinvestor
TORNTPHARM,2019,Reinvestor,2020,Liquidating Assets
TORNTPHARM,2020,Liquidating Assets,2021,Reinvestor
